mid,sum
311,"Wings of the Dove is about love, greed, and betrayal among three characters in early 20th century London and Venice."
313,"""Titanic"" is about a forbidden love story between a young aristocrat and a working-class artist on the ill-fated R.M.S. Titanic."
315,Apt Pupil is about a student's dangerous obsession with a former Nazi officer and their twisted bond.
316,As Good As It Gets is about an author with OCD who forms surprising relationships that change his life.
288,"Scream is about a small town terrorized by a masked killer, with high school students trying to survive and unveil the killer's identity."
317,"In the Name of the Father is a gripping drama about a young Irishman wrongfully convicted of an IRA bombing, delving into the complexities of the legal system and the enduring power of family bonds."
318,"Schindler's List is about a German businessman saving Polish Jews during World War II, highlighting the atrocities of the Holocaust."
319,"""Everyone Says I Love You"" is a romantic musical comedy film."
320,"Paradise Lost: The Child Murders at Robin Hood Hills is about a documentary that examines the case of three young boys who were murdered in Arkansas, shedding light on the trial of three teenagers accused of the crime and raising questions about the American justice system."
321,Mother is about a single mother fighting to prove her son's innocence in a murder accusation.
324,Lost Highway is a psychological thriller.
325,"""Crash"" is about various interconnected stories in Los Angeles."
326,G.I. Jane is about a woman in a military film.
327,"""Cop Land"" is about a small-town sheriff who discovers corruption within the police force and must confront difficult moral choices."
329,Desperate Measures is a crime thriller film.
330,187 is about a teacher overcoming a shooting and gaining a new outlook on life and teaching.
333,"The Game is about a wealthy banker who gets caught in a dangerous game, blurring the lines between reality and fiction."
336,"""Playing God"" is about a skilled surgeon caught up in the morally compromising realm of underground medicine."
338,Bean is a comedy film featuring hilarious antics.
340,Boogie Nights is a film released in 1997.
341,Critical Care is a drama film.
342,"The Man Who Knew Too Little is about an ordinary man who unknowingly becomes a hero during a real-life spy mission, blurring the line between reality and fiction."
344,The Apostle is about a preacher struggling with his faith and exploring the limits of redemption and forgiveness.
346,"Jackie Brown is about a flight attendant pulled into a dangerous criminal operation, facing treachery and shifting allegiances."
347,Wag the Dog is about a political scandal where a spin doctor and a producer collaborate to create a fake war and manipulate the public opinion.
348,"Desperate Measures is about a father and criminal who join forces to save the father's dying son, facing intense and suspenseful situations along the way."
352,"""Spice World"" is about the Spice Girls' comedic adventures before their major concert."
353,Deep Rising is about an action horror film.
358,Spawn is a 1997 movie about an undisclosed plot.
359,"The Assignment is about a covert assassin seeking revenge after a forced gender reassignment surgery, unraveling a sinister organization."
360,"""Wonderland"" is about interconnected lives in Los Angeles, delving into love, betrayal, and the pursuit of happiness."
362,"Blues Brothers 2000 is about Elwood Blues reuniting the band to save an orphanage, filled with music, comedy, and action."
24,Rumble in the Bronx is about a Hong Kong martial arts expert who gets involved in a dangerous gang rivalry while helping his uncle in New York City.
40,To Wong Foo is a movie released in 1995.
62,"""Stargate"" is about scientists exploring a mysterious portal that allows travel to other planets, encountering ancient civilizations and intergalactic conflict."
69,"Forrest Gump is about a simple-minded man who becomes an accidental participant in American history, exploring themes of love and friendship."
70,"Four Weddings and a Funeral is about love, friendship, and the events surrounding four weddings and one funeral."
153,A Fish Called Wanda is a comedy film.
189,Grand Day Out is about Wallace and Gromit's whimsical journey to the moon in search of cheese.
200,"The Shining is about a writer's descent into madness as he becomes the caretaker of an isolated hotel, haunted by supernatural forces."
211,"M*A*S*H is about eccentric army surgeons in a Korean War hospital, using black comedy to critique the absurdity and emotional toll of war."
364,"Ace Ventura: When Nature Calls is about Ace Ventura's adventurous journey to find a rare white bat in Africa, filled with outrageous antics and comedic situations."
365,Powder is about a gifted albino man with supernatural abilities.
368,"Bio-Dome is about two friends stuck in an ecological system, leading to funny and chaotic situations."
369,"""Black Sheep"" is a comedy film."
370,"Mary Reilly is about a woman's unsettling connection to her enigmatic employer and the grim, dualistic world they inhabit."
371,The Bridges of Madison County is about a photographer's passionate affair with an Italian war bride in rural Iowa.
376,Houseguest is about a comedic adventure.
377,Heavyweights is about overweight kids reclaiming their summer camp from a strict fitness instructor.
378,"Miracle on 34th Street is about a lawyer defending the sanity of a man claiming to be Santa Claus, testing the true meaning of Christmas."
381,Muriel's Wedding is a heartfelt film that explores a woman's journey towards finding happiness.
382,"Adventures of Priscilla, Queen of the Desert is a movie about an adventure."
385,"""True Lies"" is about a secret agent who must save his wife from a terrorist plot using his skills."
386,Addams Family Values is a comedy film about the quirky Addams family.
388,"""Beverly Hills Cop III"" is an action comedy film."
389,"Black Beauty is about a horse named Black Beauty and his journey through different owners, showcasing the bond between humans and animals."
390,Fear of a Black Hat is a comedy film.
391,Last Action Hero is a film filled with action and comedy.
392,The Man Without a Face is about a young boy forming a friendship with a disfigured teacher who becomes his mentor.
393,Mrs. Doubtfire is about a comedic disguise portrayed by a male in 1993.
394,Radioland Murders is about a writer solving murders during a live radio broadcast in 1939.
395,"""Robin Hood: Men in Tights"" is about a skilled archer leading a funny rebellion against a corrupt ruler, with the help of his misfit Merry Men."
396,Serial Mom is a 1994 movie about a serial killer mom.
397,Striking Distance is an action thriller film.
398,Super Mario Bros. is about Mario and Luigi's adventure in a parallel universe to save Princess Daisy from King Koopa.
400,Little Rascals is about a group of mischievous kids forming their own club and going on hilarious adventures.
401,Brady Bunch Movie is about the modern-day misadventures of the Brady family as they strive to keep their cherished home.
402,Ghost is about a romantic fantasy.
404,Pinocchio is about a wooden puppet's quest to become a real boy and the lessons he learns along the way.
406,Thinner is about a cursed lawyer who desperately tries to break a weight loss curse before it destroys him.
408,"Close Shave is about Wallace and Gromit's adventures against the villainous penguin, Feathers McGraw."
409,Jack is a drama film.
410,Kingpin is a comedy film.
411,The Nutty Professor is a comedy film.
415,"Apple Dumpling Gang is about bumbling outlaws who become guardians of orphans, leading to chaotic and humorous mishaps."
416,Old Yeller is about a brave dog's bond with a family in post-Civil War Texas.
421,William Shakespeare's Romeo and Juliet (1996) is a modern adaptation that tells the tragic story of forbidden love between two young lovers from rival families in Verona Beach.
422,"Aladdin and the King of Thieves is about Aladdin confronting his long-lost father, the leader of a group of thieves, and facing the threat of the powerful ""Hand of Midas."""
423,E.T. the Extra-Terrestrial is about a boy and his alien friend's journey to help him go back home.
425,Bob Roberts is a political mockumentary.
428,"Harold and Maude is about an unconventional friendship between a young man and an elderly woman, challenging societal norms and exploring themes of love and mortality."
430,"""Duck Soup"" is a comedy film released in 1933."
432,Fantasia combines classical music and animation to create a captivating visual journey.
433,"""Heathers"" is about a high school student named Veronica who befriends a popular clique of girls, only to discover their dark and manipulative behavior, resulting in unpredictable consequences."
434,Forbidden Planet is a classic sci-fi movie from 1956.
435,Butch Cassidy and the Sundance Kid is a 1969 movie.
436,American Werewolf in London is about a comedic and horrifying story.
437,Amityville 1992: It's About Time is a horror film.
438,Amityville 3-D is a horror movie.
440,Amityville II: The Possession is a horror film.
441,The Amityville Horror is about a family who encounters terrifying events in a haunted house.
442,The Amityville Curse is a horror film.
443,"""Birds, The"" is about a small California town that is plagued by inexplicable and violent bird attacks, leading to growing fear and paranoia among the characters."
444,"""The Blob"" is about an alien entity that terrorizes a small town by devouring everything in its path, forcing the residents to find a way to stop it."
446,Burnt Offerings is a horror film.
448,"The Omen is about a wealthy couple who adopt a young boy, only to discover he is the Antichrist."
449,Star Trek: The Motion Picture is a science fiction film.
450,"""Star Trek V: The Final Frontier"" is about the starship Enterprise crew's perilous quest to find a mythical planet, where they confront their fears and a formidable foe."
451,Grease is about a summer romance between high school students Danny and Sandy that faces challenges when school starts.
452,"Jaws 2 is about Police Chief Martin Brody confronting a great white shark terrorizing a coastal town, leading to a thrilling battle against the predator."
453,"""Jaws 3-D"" is about a great white shark causing chaos in a marine park, terrorizing visitors in immersive 3-D."
455,"Jackie Chan's First Strike is about a detective caught in an international conspiracy, using martial arts and wit to save the day."
456,"""Beverly Hills Ninja"" is about an overweight ninja who uses unorthodox methods to save kidnapped children in Beverly Hills."
457,Free Willy 3: The Rescue is about a boy who saves a captive orca and other marine life from an oil spill.
71,Lion King is about Simba's journey to reclaim his rightful place as king after his father's death.
117,The Rock is about a former prisoner and an intelligence specialist who must stop a group of rogue Marines from launching deadly nerve gas on San Francisco.
136,Mr. Smith Goes to Washington is about a young senator fighting against political corruption.
180,Apocalypse Now is a war film.
274,Sabrina is about a romantic comedy.
357,"One Flew Over the Cuckoo's Nest is about a criminal who pretends to be insane to evade jail and is sent to a mental institution, where he clashes with a strict nurse."
367,Clueless is about a wealthy teenager helping a new student fit in while facing high school challenges.
405,"""Mission: Impossible"" (1996) is about skilled agents tackling dangerous missions, filled with deception and suspense, in order to protect their country."
419,Mary Poppins is about a 1964 movie.
427,To Kill a Mockingbird is a classic film.
458,"Nixon is about the life, presidency, and downfall of Richard Nixon, the 37th President of the United States."
459,"Cry, the Beloved Country is a drama film."
460,The Crossing Guard is a dramatic film.
461,"Smoke is about interconnected lives and personal struggles in a Brooklyn tobacco shop, exploring redemption and human connections."
462,"""Like Water For Chocolate"" is about a young woman in early 20th century Mexico who uses cooking to express her emotions and desires, while facing societal pressures."
464,"Vanya on 42nd Street is about actors rehearsing ""Uncle Vanya"" in a dilapidated theater, blurring the lines between fiction and reality."
465,The Jungle Book is about a young boy navigating the treacherous jungle and forming friendships with memorable characters.
466,Red Rock West is about a drifter who becomes entangled in a dangerous plot after accepting a job from a corrupt bar owner.
467,A Bronx Tale is about a boy in the 1960s Bronx who must navigate the mafia and make crucial life decisions.
469,"Short Cuts is about the intertwined lives of Los Angeles residents, delving into love, infidelity, and the complexities of everyday existence."
471,"Courage Under Fire is about a Colonel investigating the death of a female pilot in the Gulf War, revealing her bravery and the truth surrounding her demise."
472,Dragonheart is about a dragon and a knight forming an unlikely friendship.
473,James and the Giant Peach is about a boy and a magical peach.
474,"Dr. Strangelove is about the fear and absurdity of nuclear warfare during the Cold War, exploring themes of power and madness."
475,"Trainspotting is about heroin addicts in Edinburgh, their struggles with addiction and poverty, and their journey towards redemption and self-discovery."
476,The First Wives Club is about three women seeking revenge on their ex-husbands and finding empowerment through friendship.
477,Matilda is about a gifted girl overcoming adversity through her intelligence and telekinetic powers.
